city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps
Bordeaux,France,7.1915,4.583,3.6915,0.0,4.876,5.5497499999999995,8.088333333333333,7.466,8.823333333333332,4.442,7.261000000000001,4.2045,2.648000000000001,3.875,5.3005,7.126499999999999,2.8754999999999997,44.84,-0.58,FRA,994920.0,9.48,2484.38,36.88
Boulder,United States,3.704,4.531,5.853000000000001,6.019,4.207,6.138000000000002,8.671,7.0735,7.050333333333333,4.679,9.84375,6.5145,4.346,6.2780000000000005,2.5649999999999995,9.274500000000002,6.699,40.0248,-105.2524,USA,120121.0,9.25,5177.78,77.86
Bozeman,United States,2.949,0.0,3.407,0.0,1.1905,0.0,8.671,6.9145,6.515,4.128,9.369,6.5145,4.062,5.156000000000001,1.907,7.2935,6.134,45.6833,-111.0558,USA,63917.0,8.97,4361.11,73.12
Bratislava,Slovakia,7.874499999999999,7.618,3.487,0.0,4.890000000000001,5.8115000000000006,6.188666666666666,8.618,6.751999999999999,3.2975,6.199999999999999,4.4705,4.937,4.583500000000001,6.186,6.432499999999999,4.8575,48.1447,17.1128,SVK,475503.0,7.38,1279.31,20.04
Brighton,United Kingdom,2.49,5.324,3.4094999999999995,0.0,8.322,5.547500000000001,8.991999999999999,8.4715,7.716333333333331,4.906000000000001,8.245750000000001,5.438,5.9545,4.7585,4.8695,8.17,4.898,50.8208,-0.1375,GBR,134293.0,7.38,2745.7,36.9
Brisbane,Australia,5.212,5.1770000000000005,6.343,3.24,2.4345,4.617750000000001,9.399666666666668,7.903500000000001,8.317666666666666,5.920999999999999,8.82775,6.0695000000000014,4.5885,4.407500000000001,4.01,7.489500000000001,6.256500000000002,-27.4678,153.0281,AUS,2706966.0,8.83,4082.97,51.29
Bristol,United Kingdom,5.215999999999999,5.242,4.113,3.593,4.890000000000001,5.4437500000000005,8.991999999999999,7.94,8.251666666666665,5.4615,6.472250000000001,5.438,5.9545,6.478000000000001,3.8625,7.439499999999999,4.538,51.4536,-2.5975,GBR,707412.0,7.38,2851.94,41.46
Brussels,Belgium,6.3549999999999995,4.477,5.6915,3.3739999999999997,7.4675,5.386750000000001,8.876999999999999,6.703,8.158333333333333,6.6530000000000005,4.591000000000001,4.8115000000000006,1.883,7.5715,8.143999999999998,6.481,4.123,50.8467,4.3525,BEL,1249597.0,9.48,2798.0,51.82
Bucharest,Romania,9.186500000000002,8.516,5.383,1.187,3.4955,5.072500000000001,5.681666666666667,8.985999999999999,6.075333333333333,2.4475,3.41925,4.103,6.8389999999999995,9.638,6.959499999999999,8.686500000000002,1.9675,44.4325,26.1039,ROU,2412530.0,5.78,948.86,8.37
Budapest,Hungary,8.570500000000001,7.948,5.4935,2.8040000000000003,4.426500000000001,5.395000000000001,6.707999999999999,8.218499999999999,5.745999999999999,3.693,5.2875,4.946,6.1075,6.759,8.253000000000002,7.228,5.112000000000001,47.4983,19.0408,HUN,1686222.0,5.66,974.48,12.82
Buenos Aires,Argentina,8.812000000000001,7.763999999999999,4.672999999999999,2.3100000000000005,3.77,4.9235,4.045333333333334,6.0395,6.978999999999998,1.422,4.869,2.884,1.568,1.5275,7.6735,8.584000000000001,4.535500000000001,-34.6036,-58.3814,ARG,16710000.0,5.0,403.51,21.87
Cairo,Egypt,10.0,10.0,5.0985000000000005,2.958,3.7575,3.99025,5.7906666666666675,6.791,4.0409999999999995,0.5,1.1555000000000002,2.978,5.101,2.405,6.1855,2.6500000000000004,0.5,30.0444,31.2358,EGY,20296000.0,4.07,200.4,16.37
Calgary,Canada,6.495000000000001,5.417999999999999,5.9495000000000005,2.0359999999999996,2.514,5.157500000000001,8.966,7.923,8.026333333333334,5.5550000000000015,8.191499999999998,5.8405000000000005,7.2745000000000015,5.6705000000000005,4.268,8.1105,7.504499999999999,51.05,-114.0667,CAN,1306784.0,8.89,3807.94,64.35
Cambridge,United Kingdom,4.1055,4.851,5.253,3.2840000000000003,6.887499999999999,5.627750000000001,8.991999999999999,9.504499999999998,8.189,6.554500000000001,8.0165,5.438,5.9545,5.8095,2.455,8.487000000000002,0.5,52.205,0.1225,GBR,123867.0,7.38,3325.27,35.67
Cape Town,South Africa,6.7635000000000005,7.955,5.611000000000001,3.725,2.1630000000000003,3.8425,4.732,5.327999999999999,4.343,0.8945000000000001,6.6085,2.7680000000000007,5.151,5.612500000000001,4.736000000000001,3.6605,6.750500000000001,-33.9253,18.4239,ZAF,4770313.0,3.99,1254.87,46.26
